1, 100
2, 108
3, 117
4, 126
5, 136
6, 147
7, 159
8, 171
9, 185
10, 200
11, 216
12, 233
13, 252
14, 272
15, 294
16, 317
17, 343
18, 370
19, 400
20, 432
21, 466
22, 503
23, 544
24, 587
25, 634
26, 685
27, 740
28, 799
29, 863
30, 932
31, 1006
32, 1087
33, 1174
34, 1268
35, 1369
36, 1479
37, 1597
38, 1725
39, 1863
40, 2012
41, 2172
42, 2346
43, 2534
44, 2737
45, 2956
46, 3192
47, 3447
48, 3723
49, 4021
50, 4343
51, 4690
52, 5065
53, 5471
54, 5908
55, 6381
56, 6891
57, 7443
58, 8038
59, 8681
60, 9376
61, 10126
62, 10936
63, 11811
64, 12755
65, 13776
66, 14878
67, 16068
68, 17354
69, 18742
70, 20241
71, 21861
72, 23609
73, 25498
74, 27538
75, 29741
76, 32120
77, 34690
78, 37465
79, 40463
